,p_mw,q_mvar,va_degree,vm_pu
0,700.0,246.04940654990475,-4.333065236140514,0.9995799999999999
1,600.0,75.26629490729943,-5.267701504921835,0.9995800000000001
2,375.0,231.46003846863584,-5.858152301829072,0.99
3,250.0,261.2332150519129,-9.054224735393351,0.9758000000000001
4,375.0,298.6047459820961,-6.817128795148013,0.9904
5,770.3463621111121,212.6106626612265,0.0,1.01
6,255.0,46.0237147113462,-3.550011699790515,1.0994
7,174.0,20.66628571261765,-4.429319532525249,1.0928999999999995
