,vm_pu,va_degree,p_mw,q_mvar
25,1.0555945168617777,-9.10113628019889,0.0,0.0 ## NODE 4
29,1.0556837375746702,-9.51804373244889,0.0,0.0 ###### NODE 3 HERE
