,vm_pu,va_degree,p_mw,q_mvar
0,0.99958,-4.333065236140686,-650.0,-206.0494065499356
1,0.9995799999999999,-5.267701504922008,-550.0,-35.26629490733205
2,0.9899999999999998,-5.858152301829239,-375.0,-231.4600384686397
3,0.9758,-9.054224735393525,-250.0,-261.23321505191745
4,0.9904,-6.817128795148192,-375.0,-298.6047459821008
5,1.01,0.0,-770.3463621111218,-212.61066266123225
6,1.0893408912909548,-5.136396383265853,100.0,30.0
7,1.0624202918687962,-8.8364715842286,230.0,75.0
8,1.0626967214839165,-8.808235477040128,220.0,70.0
9,1.0842416636942789,-5.742664328307481,0.0,0.0
10,1.0820207116115468,-6.336253142916084,300.0,75.0
11,0.9973858069781221,-13.98472268463745,0.0,-74.60838359710499
12,1.0180784373353373,-18.811300852313103,360.0,133.35823329447769
13,1.0130490558170506,-19.35992754001463,360.0,133.81792247286822
14,0.9544418786692463,-15.316377024919596,0.0,-68.32194748182604
15,1.015957243395932,-20.610263511563748,360.0,133.55238958161027
16,1.0067914506081335,-12.89684431912434,0.0,-76.02217687632219
17,1.016886484234074,-17.843439015978664,360.0,133.4673845181929
18,1.0256520081663498,-11.84903118678594,0.0,-78.89715313917497
19,1.0188431735409629,-16.502765841004674,360.0,133.2881364478041
20,0.9059393125353132,-18.311581112032076,0.0,-61.55445284977168
21,1.0182755081946755,-24.355462583102554,360.0,133.3401745234894
22,1.0114205878248237,-20.40127066490689,360.0,133.966277753584
23,1.0993999999999997,-3.550011699790594,-255.0,-46.02371471134916
24,1.055448858963825,-9.663350289565473,0.0,0.0
25,1.055594516861777,-9.101136280198894,0.0,0.0
26,1.05793866976291,-10.111201666514852,0.0,0.0
27,1.056748860445479,-8.38298546812668,0.0,0.0
28,1.0536671933991457,-8.639632936375849,0.0,0.0
29,1.05568373757467,-9.518043732448895,0.0,0.0
30,1.0522076594501304,-9.549062765502466,0.0,0.0
31,0.9674405691937911,-15.14043008813364,0.0,0.0
32,0.9688219012830902,-14.115024732025807,0.0,0.0
33,1.0928999999999998,-4.429319532525333,-174.0,-20.666285712622766
