,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar,pl_mw,ql_mvar,i_hv_ka,i_lv_ka,vm_hv_pu,va_hv_degree,vm_lv_pu,va_lv_degree,loading_percent
0,362.12348677685833,192.4067863376466,-361.11187244653075,-118.74375438023847,1.0116143303275749,73.66303195740812,0.594078116124221,1.6253977257158683,1.0487344945826849,-8.672127794524428,0.9001713572900193,-18.452820283080978,76.78013027582145
1,97.33924792372494,-16.103814333051762,-97.29502020362067,19.95162598211943,0.044227720104274226,3.847811649067669,0.14267914504797996,0.3722974491451955,1.0506227332984739,-9.532182201648313,1.0268171968099975,-11.726851597270313,17.586493566757333
2,110.39561476450224,-72.3692139631828,-110.31162192416848,79.6765910722278,0.08399284033376375,7.307377109044992,0.1892726239718231,0.5130549927129551,1.0596149369209538,-10.093967488783619,1.0208681681340548,-12.687423339843777,24.235563121519586
3,205.346175339541,-90.27021332157503,-204.89703180246272,116.76428364937514,0.44914353707827104,26.494070327800117,0.32477170218255436,0.937940675903218,1.0493723735798384,-9.13156227127545,0.9677770490714102,-15.078699603654702,44.306206504087285
4,399.8512655421753,339.956878823543,-399.2077958313732,-290.54181414499436,0.643469710802151,49.41506467854862,0.7661988017522934,1.863395485861575,1.0407275400182652,-9.605964063131045,1.0198665946197625,-13.930454045183984,91.69021750303256
5,361.9373524041114,143.5951555594635,-361.56116285825243,-114.11838566475123,0.37618954585894926,29.476769894712277,0.56074302786412,1.4489599840008855,1.0550367422124982,-9.658028488779417,1.007151638732684,-13.781162506316587,68.44560846610148
6,-648.8854628252382,-196.49313820295077,650.0000000000005,248.34334589840483,1.1145371747622903,51.85020769545406,0.9792991597598127,20.095218758271375,1.0518641334854788,-8.413228008908169,0.9995800000000001,-4.350208284337239,69.61187975707436
7,-549.637894045191,-51.553531592793355,549.9999999999999,82.05089978669773,0.36210595480883967,30.49736819390437,0.7973973963844038,16.059583563181906,1.0518641334854788,-8.413228008908169,0.99958,-5.286629239296614,55.63202935965816
8,-768.3213058548012,-132.25896971027683,769.8857435959653,213.60973225081045,1.56443774116417,81.35076254053362,1.092627756233438,22.835920105278888,1.0840953725834883,-5.739833233493822,1.01,0.0,79.10594771985332
9,-373.9653929021502,-195.88542884364102,375.0000000000001,249.6849979318228,1.0346070978499142,53.799569088181784,1.5916887731383902,13.131432378391727,1.0208681681340548,-12.687423339843777,0.9904,-6.676519080002469,90.97723222211796
10,-374.018765690575,-176.38854495881634,374.9999999999999,227.41272904891173,0.9812343094249059,51.02418409009539,1.550089551349258,12.788238798631372,1.0268171968099975,-11.726851597270313,0.9900000000000001,-5.741534220780335,88.59951735421245
11,-249.18652389344174,-172.03831356056406,249.99999999999986,214.33907110158935,0.8134761065581131,42.30075754102529,1.1808421502795692,9.741947739806452,0.9870061755456904,-14.84388676207974,0.9758,-8.856732671406942,96.42027685728893
12,360.8321077158369,167.82145280399632,-360.0000000000002,-133.1703246372897,0.8321077158366847,34.65112816670663,1.491705207234,14.482574827514576,1.0268171968099975,-11.726851597270313,1.020127174672201,-16.369466968719067,77.51127626533047
13,360.9258947634391,172.42365866185213,-359.9999999999997,-133.83332156574303,0.9258947634393735,38.590337096109096,1.5908501903417334,14.594955874694783,0.9677770490714102,-15.078699603654702,1.0128801446508557,-20.220633599444238,82.66300070707504
14,360.8476076460658,168.57935109694165,-359.99999999999983,-133.25194016590038,0.847607646065967,35.32741093104127,1.5221095232451525,14.49628117376334,1.007151638732684,-13.781162506316587,1.019237839805369,-18.510271867440625,79.09113086835136
15,360.9078976400159,171.44891949331472,-360.00000000000057,-133.64170188471843,0.9078976400153351,37.80721760859629,1.5581586494418216,14.562230368615174,0.9870061755456904,-14.84388676207974,1.014980001064956,-19.887610396101852,80.96429841258413
16,360.8638615950397,169.821968357346,-360.00000000000034,-133.85724287056914,0.8638615950393387,35.96472548677687,1.5037027065571738,14.599055403467718,1.0208681681340548,-12.687423339843777,1.0126176982831547,-17.49259880334928,78.13468461707578
17,360.84582374457796,169.09349803538234,-359.99999999999983,-133.87119878011225,0.8458237445781265,35.22229925527009,1.5039492021039078,14.601448564115627,1.0198665946197625,-13.930454045183984,1.012464553232872,-18.64001350919427,78.14749290139926
18,361.1118724464453,179.5168898166568,-359.9999999999015,-133.21563107699214,1.1118724465438277,46.30125873966466,1.7243313146073778,14.490179114347734,0.9001713572900193,-18.452820283080978,1.0196335825838891,-24.57916968943687,89.59888337946037
